ID,Date,Open,High,Low,Close.,Adj.Close..,Volume
1,11/17/2017,171.04,171.39,169.64,170.15,170.15,21854800.00
2,11/16/2017,171.18,171.87,170.30,171.10,171.10,23637500.00
3,11/15/2017,169.97,170.32,168.38,169.08,169.08,29158100.00
4,11/14/2017,173.04,173.48,171.18,171.34,171.34,24782500.00
5,11/13/2017,173.50,174.50,173.40,173.97,173.97,16982100.00
6,11/10/2017,175.11,175.38,174.27,174.67,174.67,25145500.00
8,11/9/2017,175.11,176.10,173.14,175.88,175.25,29482600.00
9,11/8/2017,174.66,176.24,174.33,176.24,175.61,24409500.00
10,11/7/2017,173.91,175.25,173.60,174.81,174.18,24361500.00
11,11/6/2017,172.37,174.99,171.72,174.25,173.63,35026300.00
12,11/3/2017,174.00,174.26,171.12,172.50,171.88,59398600.00
13,11/2/2017,166.60,168.50,165.28,168.11,167.51,41393400.00
14,11/1/2017,169.87,169.94,165.61,166.89,166.29,33637800.00
15,10/31/2017,167.90,169.65,166.94,169.04,168.43,36046800.00
16,10/30/2017,163.89,168.07,163.72,166.72,166.12,44700800.00
17,10/27/2017,159.29,163.60,158.70,163.05,162.47,44454200.00
18,10/26/2017,157.23,157.83,156.78,157.41,156.85,17000500.00
19,10/25/2017,156.91,157.55,155.27,156.41,155.85,21207100.00
20,10/24/2017,156.29,157.42,156.20,157.10,156.54,17757200.00
21,10/23/2017,156.89,157.69,155.50,156.17,155.61,21984300.00
22,10/20/2017,156.61,157.75,155.96,156.25,155.69,23974100.00
23,10/19/2017,156.75,157.08,155.02,155.98,155.42,42584200.00
24,10/18/2017,160.42,160.71,159.60,159.76,159.19,16374200.00
25,10/17/2017,159.78,160.87,159.23,160.47,159.90,18997300.00
26,10/16/2017,157.90,160.00,157.65,159.88,159.31,24121500.00
27,10/13/2017,156.73,157.28,156.41,156.99,156.43,16394200.00
28,10/12/2017,156.35,157.37,155.73,156.00,155.44,16125100.00
29,10/11/2017,155.97,156.98,155.75,156.55,155.99,16905600.00
30,10/10/2017,156.06,158.00,155.10,155.90,155.34,15617000.00
31,10/9/2017,155.81,156.73,155.49,155.84,155.28,16262900.00
32,10/6/2017,154.97,155.49,154.56,155.30,154.74,17407600.00
33,10/5/2017,154.18,155.44,154.05,155.39,154.83,21283800.00
34,10/4/2017,153.63,153.86,152.46,153.48,152.93,20163800.00
35,10/3/2017,154.01,155.09,153.91,154.48,153.93,16230300.00
36,10/2/2017,154.26,154.45,152.72,153.81,153.26,18698800.00
37,9/29/2017,153.21,154.13,152.00,154.12,153.57,26299800.00
38,9/28/2017,153.89,154.28,152.70,153.28,152.73,22005500.00
39,9/27/2017,153.80,154.72,153.54,154.23,153.68,25504200.00
40,9/26/2017,151.78,153.92,151.69,153.14,152.59,36660000.00
41,9/25/2017,149.99,151.83,149.16,150.55,150.01,44387300.00
42,9/22/2017,151.54,152.27,150.56,151.89,151.35,46645400.00
43,9/21/2017,155.80,155.80,152.75,153.39,152.84,37511700.00
44,9/20/2017,157.90,158.26,153.83,156.07,155.51,52951400.00
45,9/19/2017,159.51,159.77,158.44,158.73,158.16,20810600.00
46,9/18/2017,160.11,160.50,158.00,158.67,158.10,28269400.00
47,9/15/2017,158.47,160.97,158.00,159.88,159.31,49114600.00
